Year,Units,timeseries,age group,sex,Value
2012,percentage,A,,,2.7
2017,percentage,A,,,3.0
2020,percentage,A,,,2.0
2010,percentage,B,,,1.2
2011,percentage,B,,,1.2
2012,percentage,B,,,1.2
2013,percentage,B,,,1.2
2014,percentage,B,,,1.2
2015,percentage,B,,,1.2
2016,percentage,B,,,1.2
2017,percentage,B,,,1.2
2018,percentage,B,,,1.2
2019,percentage,B,,,1.2
2020,percentage,B,,,1.2
2021,percentage,B,,,1.2
2022,percentage,B,,,1.4
2010,number,C,,,932126.0
2011,number,C,,,964945.0
2012,number,C,,,976090.0
2013,number,C,,,955737.0
2014,number,C,,,947568.0
2015,number,C,,,946133.0
2016,number,C,,,1017602.0
2017,number,C,,,1008510.0
2018,number,C,,,1025241.0
2019,number,C,,,1013048.0
2020,number,C,,,1011462.0
2021,number,C,,,985790.0
2022,number,C,,,1151908.0
2010,number,C,13 years and younger,,72232.0
2011,number,C,13 years and younger,,70429.0
2012,number,C,13 years and younger,,67579.0
2013,number,C,13 years and younger,,65334.0
2014,number,C,13 years and younger,,64584.0
2015,number,C,13 years and younger,,62342.0
2016,number,C,13 years and younger,,67519.0
2017,number,C,13 years and younger,,68820.0
2018,number,C,13 years and younger,,70590.0
2019,number,C,13 years and younger,,72772.0
2020,number,C,13 years and younger,,70106.0
2021,number,C,13 years and younger,,71931.0
2022,number,C,13 years and younger,,88101.0
2010,number,C,14 to under 18 years,,99135.0
2011,number,C,14 to under 18 years,,92128.0
2012,number,C,14 to under 18 years,,88020.0
2013,number,C,14 to under 18 years,,81633.0
2014,number,C,14 to under 18 years,,77948.0
2015,number,C,14 to under 18 years,,74650.0
2016,number,C,14 to under 18 years,,82930.0
2017,number,C,14 to under 18 years,,84071.0
2018,number,C,14 to under 18 years,,84175.0
2019,number,C,14 to under 18 years,,83713.0
2020,number,C,14 to under 18 years,,76630.0
2021,number,C,14 to under 18 years,,73160.0
2022,number,C,14 to under 18 years,,94157.0
2010,number,C,18 to under 21 years,,109139.0
2011,number,C,18 to under 21 years,,104427.0
2012,number,C,18 to under 21 years,,99541.0
2013,number,C,18 to under 21 years,,89880.0
2014,number,C,18 to under 21 years,,83802.0
2015,number,C,18 to under 21 years,,80941.0
2016,number,C,18 to under 21 years,,88459.0
2017,number,C,18 to under 21 years,,88834.0
2018,number,C,18 to under 21 years,,89688.0
2019,number,C,18 to under 21 years,,85885.0
2020,number,C,18 to under 21 years,,78631.0
2021,number,C,18 to under 21 years,,71267.0
2022,number,C,18 to under 21 years,,83451.0
2010,number,C,21 to under 60 years,,600019.0
2011,number,C,21 to under 60 years,,644770.0
2012,number,C,21 to under 60 years,,666152.0
2013,number,C,21 to under 60 years,,662202.0
2014,number,C,21 to under 60 years,,663253.0
2015,number,C,21 to under 60 years,,668823.0
2016,number,C,21 to under 60 years,,716502.0
2017,number,C,21 to under 60 years,,704139.0
2018,number,C,21 to under 60 years,,715629.0
2019,number,C,21 to under 60 years,,704911.0
2020,number,C,21 to under 60 years,,713436.0
2021,number,C,21 to under 60 years,,694085.0
2022,number,C,21 to under 60 years,,802068.0
2010,number,C,60 years and older,,51601.0
2011,number,C,60 years and older,,53191.0
2012,number,C,60 years and older,,54798.0
2013,number,C,60 years and older,,56688.0
2014,number,C,60 years and older,,57981.0
2015,number,C,60 years and older,,59377.0
2016,number,C,60 years and older,,62192.0
2017,number,C,60 years and older,,62646.0
2018,number,C,60 years and older,,65159.0
2019,number,C,60 years and older,,65767.0
2020,number,C,60 years and older,,72659.0
2021,number,C,60 years and older,,75347.0
2022,number,C,60 years and older,,84131.0
2010,number,C,,female,382263.0
2011,number,C,,female,384661.0
2012,number,C,,female,391566.0
2013,number,C,,female,388258.0
2014,number,C,,female,384786.0
2015,number,C,,female,381892.0
2016,number,C,,female,403500.0
2017,number,C,,female,404035.0
2018,number,C,,female,414147.0
2019,number,C,,female,409968.0
2020,number,C,,female,416931.0
2021,number,C,,female,412503.0
2022,number,C,,female,472191.0
2010,number,C,,male,549863.0
2011,number,C,,male,580284.0
2012,number,C,,male,584524.0
2013,number,C,,male,567479.0
2014,number,C,,male,562782.0
2015,number,C,,male,564241.0
2016,number,C,,male,614102.0
2017,number,C,,male,604475.0
2018,number,C,,male,611094.0
2019,number,C,,male,603080.0
2020,number,C,,male,594531.0
2021,number,C,,male,573287.0
2022,number,C,,male,679717.0
